"Q1(C)","IC[Q1(B)=0.00]","IC[Q1(B)=2.00u]","IC[Q1(B)=4.00u]","IC[Q1(B)=6.00u]","IC[Q1(B)=8.00u]","IC[Q1(B)=10.0u]","IC[Q1(B)=12.0u]","IC[Q1(B)=14.0u]","IC[Q1(B)=16.0u]","IC[Q1(B)=18.0u]","IC[Q1(B)=20.0u]"
2.46,6.96498e-011,0.00040875,0.000813954,0.00121582,0.00161444,0.00200991,0.0024023,0.00279169,0.00317814,0.00356171,0.00394248
2.52,7.33526e-011,0.000409092,0.000814634,0.00121683,0.00161579,0.00201159,0.00240431,0.00279402,0.00318079,0.00356469,0.00394578
2.58,7.70908e-011,0.000409433,0.000815314,0.00121785,0.00161714,0.00201327,0.00240632,0.00279635,0.00318345,0.00356767,0.00394907
2.64,8.08625e-011,0.000409775,0.000815994,0.00121886,0.00161849,0.00201495,0.00240832,0.00279869,0.00318611,0.00357065,0.00395237
2.7,8.46658e-011,0.000410116,0.000816674,0.00121988,0.00161984,0.00201663,0.00241033,0.00280102,0.00318876,0.00357362,0.00395566
2.76,8.84987e-011,0.000410458,0.000817354,0.0012209,0.00162119,0.00201831,0.00241234,0.00280336,0.00319142,0.0035766,0.00395896
2.82,9.23595e-011,0.000410799,0.000818034,0.00122191,0.00162253,0.00201999,0.00241435,0.00280569,0.00319408,0.00357958,0.00396226
2.88,9.62469e-011,0.000411141,0.000818714,0.00122293,0.00162388,0.00202167,0.00241636,0.00280802,0.00319673,0.00358256,0.00396555
2.94,1.0016e-010,0.000411482,0.000819395,0.00122394,0.00162523,0.00202335,0.00241836,0.00281036,0.00319939,0.00358553,0.00396885
3,1.04096e-010,0.000411823,0.000820075,0.00122496,0.00162658,0.00202503,0.00242037,0.00281269,0.00320205,0.00358851,0.00397214
3.06,1.08056e-010,0.000412165,0.000820755,0.00122598,0.00162793,0.00202671,0.00242238,0.00281502,0.0032047,0.00359149,0.00397544
3.12,1.12049e-010,0.000412506,0.000821435,0.00122699,0.00162928,0.00202839,0.00242439,0.00281736,0.00320736,0.00359447,0.00397873
3.18,1.16041e-010,0.000412848,0.000822115,0.00122801,0.00163063,0.00203007,0.0024264,0.00281969,0.00321002,0.00359744,0.00398203
3.3,1.24107e-010,0.000413531,0.000823475,0.00123004,0.00163333,0.00203343,0.00243041,0.00282436,0.00321533,0.0036034,0.00398862
3.42,1.32247e-010,0.000414214,0.000824835,0.00123207,0.00163603,0.00203679,0.00243443,0.00282903,0.00322064,0.00360935,0.00399521
3.54,1.40458e-010,0.000414896,0.000826195,0.0012341,0.00163873,0.00204015,0.00243844,0.00283369,0.00322596,0.00361531,0.00400181
3.66,1.48735e-010,0.000415579,0.000827556,0.00123614,0.00164142,0.00204351,0.00244246,0.00283836,0.00323127,0.00362126,0.0040084
3.72,1.52904e-010,0.000415921,0.000828236,0.00123715,0.00164277,0.00204519,0.00244447,0.00284069,0.00323393,0.00362424,0.00401169
3.78,1.57074e-010,0.000416262,0.000828916,0.00123817,0.00164412,0.00204687,0.00244648,0.00284303,0.00323659,0.00362722,0.00401499
3.84,1.61273e-010,0.000416604,0.000829596,0.00123918,0.00164547,0.00204855,0.00244848,0.00284536,0.00323924,0.0036302,0.00401829
3.9,1.65472e-010,0.000416945,0.000830276,0.0012402,0.00164682,0.00205023,0.00245049,0.00284769,0.0032419,0.00363317,0.00402158
3.96,1.69699e-010,0.000417286,0.000830956,0.00124122,0.00164817,0.00205191,0.0024525,0.00285003,0.00324456,0.00363615,0.00402488
4.02,1.73926e-010,0.000417628,0.000831636,0.00124223,0.00164952,0.00205359,0.00245451,0.00285236,0.00324721,0.00363913,0.00402817
4.14,1.82433e-010,0.000418311,0.000832996,0.00124426,0.00165222,0.00205695,0.00245852,0.00285703,0.00325253,0.00364508,0.00403477
4.26,1.90993e-010,0.000418994,0.000834356,0.0012463,0.00165492,0.00206031,0.00246254,0.0028617,0.00325784,0.00365104,0.00404136
4.32,1.95297e-010,0.000419335,0.000835037,0.00124731,0.00165627,0.00206199,0.00246455,0.00286403,0.0032605,0.00365402,0.00404465
4.38,1.99602e-010,0.000419677,0.000835717,0.00124833,0.00165762,0.00206367,0.00246656,0.00286636,0.00326315,0.00365699,0.00404795
4.44,2.0393e-010,0.000420018,0.000836397,0.00124934,0.00165896,0.00206535,0.00246856,0.0028687,0.00326581,0.00365997,0.00405125
4.5,2.08259e-010,0.000420359,0.000837077,0.00125036,0.00166031,0.00206703,0.00247057,0.00287103,0.00326847,0.00366295,0.00405454
4.62,2.16962e-010,0.000421042,0.000838437,0.00125239,0.00166301,0.00207038,0.00247459,0.0028757,0.00327378,0.0036689,0.00406113
4.8,2.30101e-010,0.000422067,0.000840477,0.00125544,0.00166706,0.00207542,0.00248061,0.0028827,0.00328175,0.00367784,0.00407102
4.98,2.43338e-010,0.000423091,0.000842518,0.00125849,0.00167111,0.00208046,0.00248664,0.0028897,0.00328972,0.00368677,0.00408091
5.04,2.47782e-010,0.000423432,0.000843198,0.0012595,0.00167246,0.00208214,0.00248864,0.00289203,0.00329238,0.00368975,0.00408421
5.1,2.52225e-010,0.000423774,0.000843878,0.00126052,0.00167381,0.00208382,0.00249065,0.00289437,0.00329503,0.00369273,0.0040875
5.16,2.56669e-010,0.000424115,0.000844558,0.00126154,0.00167516,0.0020855,0.00249266,0.0028967,0.00329769,0.0036957,0.0040908
5.28,2.65617e-010,0.000424798,0.000845918,0.00126357,0.00167785,0.00208886,0.00249668,0.00290137,0.003303,0.00370166,0.00409739
5.34,2.70091e-010,0.00042514,0.000846598,0.00126458,0.0016792,0.00209054,0.00249868,0.0029037,0.00330566,0.00370464,0.00410069
5.52,2.83602e-010,0.000426164,0.000848638,0.00126763,0.00168325,0.00209558,0.00250471,0.0029107,0.00331363,0.00371357,0.00411057
5.64,2.92667e-010,0.000426847,0.000849998,0.00126966,0.00168595,0.00209894,0.00250872,0.00291537,0.00331895,0.00371952,0.00411717
5.7,2.97199e-010,0.000427188,0.000850679,0.00127068,0.0016873,0.00210062,0.00251073,0.0029177,0.0033216,0.0037225,0.00412046
5.76,3.01759e-010,0.00042753,0.000851359,0.0012717,0.00168865,0.0021023,0.00251274,0.00292004,0.00332426,0.00372548,0.00412376
5.82,3.0632e-010,0.000427871,0.000852039,0.00127271,0.00169,0.00210398,0.00251475,0.00292237,0.00332692,0.00372846,0.00412705
5.88,3.1088e-010,0.000428213,0.000852719,0.00127373,0.00169135,0.00210566,0.00251676,0.0029247,0.00332957,0.00373143,0.00413035
5.94,3.15463e-010,0.000428554,0.000853399,0.00127474,0.0016927,0.00210734,0.00251876,0.00292704,0.00333223,0.00373441,0.00413365
6,3.20047e-010,0.000428896,0.000854079,0.00127576,0.00169405,0.00210902,0.00252077,0.00292937,0.00333489,0.00373739,0.00413694
